datestr,cases,deaths,device_count,full_time_work_behavior_devices,part_time_work_behavior_devices,completely_home_device_count,delivery_behavior_devices,candidate_device_count,sheltering_in_place_percent,total_pop,total_spend,num_cards,county,county_name,state_abbr,county Geometry longitude,county Geometry latitude
2020-05-03T00:00:00.000Z,91,1,2113,22,81,642,48,4213,0.3038334122101278,27023,11814.91732788086,373.94348526000977,13087,Decatur,GA,-84.5838902,30.8806431
2020-05-03T00:00:00.000Z,2184,53,34160,514,773,15394,665,87024,0.4506440281030445,736066,509350.92225265503,15039.351359724998,13089,DeKalb,GA,-84.2263432,33.7706611
2020-05-03T00:00:00.000Z,29,1,1289,18,54,376,25,2554,0.2916989914662529,21063,7818.89372253418,302.92915391921997,13091,Dodge,GA,-83.1678658,32.164369
2020-05-03T00:00:00.000Z,132,9,543,12,15,180,13,1427,0.3314917127071823,14053,4623.232570648193,152.79351663589478,13093,Dooly,GA,-83.807167,32.1519954
2020-05-03T00:00:00.000Z,1536,124,4370,88,157,1702,116,11092,0.3894736842105263,91522,77201.47880554199,2368.689143180847,13095,Dougherty,GA,-84.20904,31.5325876
2020-05-03T00:00:00.000Z,341,11,9550,88,274,3891,197,20561,0.40743455497382197,140152,85190.474609375,2543.375588417053,13097,Douglas,GA,-84.7673139,33.7012421
2020-05-03T00:00:00.000Z,219,20,849,17,31,275,25,1636,0.32391048292108365,10405,3743.278274536133,120.48414325714111,13099,Early,GA,-84.9067225,31.3241906
2020-05-03T00:00:00.000Z,5,0,262,6,16,72,11,504,0.2748091603053435,4011,1192.429443359375,43.939785957336426,13101,Echols,GA,-82.8973758,30.7140081
2020-05-03T00:00:00.000Z,36,1,5277,43,208,1771,70,10503,0.33560735266249764,57087,22146.836822509766,480.1036682128906,13103,Effingham,GA,-81.343372,32.3616802
2020-05-03T00:00:00.000Z,31,0,1508,27,47,390,31,2899,0.25862068965517243,19288,9809.73583984375,319.699481010437,13105,Elbert,GA,-82.8419087,34.116413
2020-05-03T00:00:00.000Z,21,0,1658,24,55,467,35,3631,0.28166465621230397,22502,10781.738021850586,306.412789106369,13107,Emanuel,GA,-82.2997628,32.5910995
2020-05-03T00:00:00.000Z,5,0,622,10,15,200,12,1409,0.3215434083601286,10757,4917.0362548828125,131.33180141448975,13109,Evans,GA,-81.890153,32.1530834
2020-05-03T00:00:00.000Z,31,1,1910,25,86,648,38,4111,0.3392670157068063,24480,3358.1318435668945,99.28184652328491,13111,Fannin,GA,-84.3173308,34.8665427
2020-05-03T00:00:00.000Z,183,10,8534,76,242,3502,126,16950,0.4103585657370518,110306,25440.17328643799,772.9525556564331,13113,Fayette,GA,-84.4939407,33.4127172
2020-05-03T00:00:00.000Z,145,11,7401,78,281,2241,177,15245,0.30279691933522496,96471,42020.08984375,1197.3982005119324,13115,Floyd,GA,-85.2136851,34.2636918
2020-05-03T00:00:00.000Z,332,10,20957,167,569,8024,285,36487,0.38287922889726583,211300,29785.229080200195,836.2970440387726,13117,Forsyth,GA,-84.1274075,34.225143
2020-05-03T00:00:00.000Z,21,1,1992,33,87,581,57,3961,0.2916666666666667,22328,5095.750221252441,184.6273274421692,13119,Franklin,GA,-83.2275325,34.3752657
2020-05-03T00:00:00.000Z,2981,124,50216,722,1255,21203,972,118812,0.4222359407360204,1010420,725048.5869369507,20855.009281635284,13121,Fulton,GA,-84.4681816,33.7900338
2020-05-03T00:00:00.000Z,73,0,2101,27,69,720,35,4714,0.3426939552594003,29614,9629.230407714844,183.03297185897827,13123,Gilmer,GA,-84.4546244,34.6905055
2020-05-03T00:00:00.000Z,0,0,264,3,4,60,7,449,0.22727272727272727,3027,414.45115661621094,24.21971082687378,13125,Glascock,GA,-82.6069126,33.2274908
2020-05-03T00:00:00.000Z,59,1,5416,80,221,1895,114,12850,0.34988921713441656,83467,36536.96249771118,1119.0084431171417,13127,Glynn,GA,-81.4964503,31.2127098
2020-05-03T00:00:00.000Z,113,12,4517,49,188,1332,89,9082,0.2948859862740757,56424,18610.212478637695,609.0902414321899,13129,Gordon,GA,-84.8738622,34.5096669
2020-05-03T00:00:00.000Z,63,3,1724,28,73,588,25,3670,0.34106728538283065,25048,9377.938003540039,277.7806763648987,13131,Grady,GA,-84.2450803,30.8759076
2020-05-03T00:00:00.000Z,54,3,1158,24,53,397,26,2438,0.34283246977547494,16732,7030.048294067383,199.4977993965149,13133,Greene,GA,-83.1666127,33.5767403
